Year,Date,Company,On Time Performance,Quality of Processing,Pricing,Customer Service,Overall Satisfaction,Comments
2022,1/1/2022,Alliance Steel,2,3,4,3,3,Our main 2 issues are lead times and communication. We have a customer base that will not be okay with lead times 3+ weeks out and then quoted run dates that are not met. Communication is also sub par. We ask questions that more often than not are not answered same day and sometimes just go unanswered. If this continues we will be forced to make alternative arrangements for a portion of our tonnage.
2022,1/1/2022,Ryerson,5,5,5,5,5,
2022,1/1/2022,Super Stud South,4,4,4,3,3,"Overall, pretty easy to work with. But a more prompt response time to questions and requests, even if it's not the answer we want to hear, would be appreciated. Some emails and calls go completely unanswered."
2022,1/1/2022,Heidtman Steel Products,4,4,4,5,4,Everyone @ MSP is awesome. Orders done in a timely manner.
2022,1/1/2022,Cisco Steel,5,5,5,5,5,"Everyone at MSP is a joy to work with very helpful goes the extra mile to take good care of us and we thank you! Kenny"
2022,1/1/2022,Steel Dynamics Columbus,4,5,4,4,4,"Alissa has been a nice addition. I do not handle MSP day to day but to my experience, I have no complaints and MSP continues to exceed expectations when I need help. Mike Davis OP Coordinator."
2022,1/1/2022,"AMMSteel, LLC",4,3,2,4,3,Dasha has improved drastically. Pricing is the highest we pay compared to the copetition. Growing pains in the processing department. -WH
2022,1/1/2022,Ryerson,5,5,5,4,5,
2022,1/1/2022,Plum Creek,4,5,5,5,5,
2022,1/1/2022,Robindale Steel,4,4,4,5,4,
2022,1/1/2022,Phoenix Metals,5,5,5,5,5,"Only issue right now is that lead times are extended to 10-12 business days, when they used to be 4-5. I was told they would be improving but they haven't really changed and I can't get an answer on when they will hopefully be better, which makes it very tough to know how much inventory to have cut. We run on very lean inventories, so short lead times are crucial to how we operate."
2022,1/1/2022,Steel Dynamics,3,4,3,5,4,Single point material is late most of the time. Once material is on the floor it takes 3+ weeks to have material processed.
2022,1/1/2022,Nucor Warehouse Systems,3,5,4,4,4,
2022,1/1/2022,Trinity Products,5,5,5,5,5,"In the short time I have delt with Mississippi Steel, Caryn has been an absolute pleasure to work with and has kept me well informnend on where my product is at through the process. I am very pleased with your service and the speed at which you are able to process my orders. Thank you."
2022,1/1/2022,Nucor Warehouse Systems,5,5,5,5,5,
2022,1/1/2022,Dunnerite Steel,3,5,5,5,5,
2022,1/1/2022,Plum Creek Environmental,4,5,5,3,4,
2022,1/1/2022,Rogers Steel Company,5,5,3,5,4,
2022,1/1/2022,Rice Lake Weighing Systems,5,5,3,5,5,
2022,1/1/2022,JDM Steel,5,5,5,5,5,Megin does a great job on taking care of my orders for Union Tank.
2022,1/1/2022,Al-Tn Metals,4,4,3,4,4,
2022,1/1/2022,Alabama Metal Industries Corp.,4,5,4,4,4,Customer service is much improved along with the scheduling of appointments to pick-up finished goods.
2022,1/1/2022,Esmark Steel Group,5,5,5,5,5,Great Job!
2022,1/1/2022,Allen Gate and Panels,4,5,2,4,4,Sometimes it very hard to get anyone on the phone. There are somethings that are a lots easier and faster if you can talk to someone instead of email. They all seem to to be very busy but sometimes it take days to get a current inventory or production updates. The processing is always done properly and the shipping department is pretty easy to work with. The pricing is a lot higher than other processors that I use.
2023,2/8/2023,Phoenix Metals,5,5,5,5,5,"Lead times on the stretcher have moved back towards 5 days, which is great for us to run our business"
2023,2/8/2023,West Boca Metals,4,5,4,5,4,Leann does her best to take really good care of us
2023,2/8/2023,Super Stud South,4,4,4,5,4,
2023,2/8/2023,Alliance Steel,4,4,3,5,4,"Pricing seems to be higher than most, and lead times can get extended out. Other than that, very good performance"
2023,2/9/2023,Steel Dynamics,4,4,3,5,4,Pricing could be aligned with other processors that we deal with.
2023,2/9/2023,Steel Dynamics,4,4,3,5,4,Pricing needs to be be more inline with other processors.
2023,2/10/2023,Rapid Metals,5,5,5,5,5,You folks do a great job....
2024,2/2/2024,Atlas Tube,4,5,4,5,5,My location has not done much business with MSP but Caryn has done a good job setting and meeting expectations for me on the few jobs I have had.
2024,2/1/2024,"Steel Coil Store, LLC",5,5,3,5,4,NA
2024,2/1/2024,Alliance Steel,4,4,3,4,4,
2024,2/1/2024,Ferrosource LLC,4,5,4,5,5,"Overall, we have a tremendous working relationship with the team at MSP; Caryn Bivens in particular is a fantastic customer service representative and goes above and beyond in assisting our entire organization."
2024,2/1/2024,fairway metals,4,3,3,5,4,
2024,2/1/2024,SDI Columbus,5,5,3,5,5,
2024,2/1/2024,Hanna Steel Corp,4,5,3,5,4,Our Customer Rep/Mill Liaison does an outstanding job of entering our processing orders and letting us know of problems or concerns in a timely manner
2024,2/2/2024,Performance Steel,2,4,1,3,3,With the nature of our business the MSP leadtimes are always an issue.
2024,2/1/2024,"Zeeco Metals, Inc.",5,5,5,5,5,Keep up the good work!
2024,2/1/2024,Steel Dynamics Inc,3,4,4,5,4,
2024,2/1/2024,Rogers Steel Company,5,5,3,5,5,Caryn is great
2024,2/1/2024,Trinity Products,5,5,5,5,5,We love working with MSP.  Everyone is very helpful and always on top of all of our requests and needs. 
2024,2/1/2024,SDI SHIPPING,5,5,5,5,5,"I don't deal with pricing personally. However, I will say coordinating the movement of material to and from MSP is painless. Questions are answered quickly, and they are always willing to help. "
2024,1/10/2024,Phoenix Metals,4,5,5,5,4,
2024,1/15/2024,Heidtman Steel,4,4,4,5,5,Working with everyone is a pleasure. LeAnn Bishop and the girls are very helpful.
2024,1/18/2024,5 Star Roll Form,4,4,3,4,4,
2024,1/18/2024,PRT,5,5,4,5,5,"We are a new customer, very satisfied with the service!"
2024,1/19/2024,Midwest Tube Mills,4,5,4,5,4,
2024,1/22/2024,JDM Steel,5,5,4,5,5,"Megin, Jim and shipping and whomever works on Union Tank does a great job for us!!! Keep up the great work !!!!"
2024,1/22/2024,Central Illinois Steel Co,5,5,5,5,5,Greatly appreciate our relationship. Thanks MSP!
2024,1/22/2024,Esmark Steel Group,5,5,4,5,5,Thank you for all of your help!! Hoping to bring in new business to MSP in 2024
2024,1/22/2024,Kloeckner Metals,5,5,5,5,5,
2024,1/22/2024,JMS Russel Metals,4,4,4,4,4,Customer Service has improved.
2024,1/24/2024,Allen Gate and Panel,4,5,3,4,4,
2024,1/26/2024,Plum Creek,4,5,5,5,5,
2024,1/1/2024,Sabel Steel,3,3,3,2,3,
2024,3/25/2024,Rice Lake Weighing Systems ,5,5,4,5,5,Very satisfied with the service we get from MSP
